"filename", "language", "Swift", "JSON", "comment", "blank", "total"
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/App/AppCoordinator.swift", "Swift", 63, 0, 28, 34, 125
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/Assets.xcassets/AccentColor.colorset/Contents.json", "JSON", 0, 11, 0, 1, 12
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 58, 0, 1, 59
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/Assets.xcassets/Contents.json", "JSON", 0, 6, 0, 1, 7
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/Bridge/ChromeExtensionBridge.swift", "Swift", 58, 0, 15, 17, 90
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/Bridge/XcodeBridge.swift", "Swift", 21, 0, 0, 5, 26
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/Managers/ShorcutManager/AppShortcut.swift", "Swift", 5, 0, 7, 3, 15
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/Managers/ShorcutManager/GlobalShortcut.swift", "Swift", 37, 0, 10, 9, 56
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/Managers/ShorcutManager/ShortcutManager.swift", "Swift", 14, 0, 31, 8, 53
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/DashboardViews/RecentScreenshotsView.swift", "Swift", 55, 0, 0, 13, 68
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/Home/HomeWindow.swift", "Swift", 79, 0, 5, 15, 99
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/Home/HomeWindowController.swift", "Swift", 19, 0, 0, 3, 22
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/ScreenshotOverlay/ScreenshotOverlayController.swift", "Swift", 152, 0, 10, 42, 204
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/ScreenshotOverlay/ScreenshotOverlayView.swift", "Swift", 86, 0, 11, 27, 124
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/ScreenshotPreview/DraggableImageView.swift", "Swift", 51, 0, 0, 9, 60
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/ScreenshotPreview/ScreenshotPreviewController.swift", "Swift", 35, 0, 0, 5, 40
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/Utils/ScreenshotService.swift", "Swift", 43, 0, 6, 8, 57
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/main.swift", "Swift", 4, 0, 0, 2, 6
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/mainSwift.swift", "Swift", 57, 0, 10, 22, 89
"Total", "-", 779, 75, 133, 225, 1212
