"filename", "language", "Swift", "comment", "blank", "total"
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/App/AppCoordinator.swift", "Swift", 24, -16, -6, 2
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/Authentication/Auth.swift", "Swift", 34, 1, 7, 42
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/Bridge/ChromeExtensionBridge.swift", "Swift", -58, -15, -17, -90
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/Bridge/XcodeBridge.swift", "Swift", 15, 3, 2, 20
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/Store/UserStore.swift", "Swift", 24, 0, 12, 36
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/Auth/LoginView.swift", "Swift", 110, 1, 13, 124
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/Auth/RegisterView.swift", "Swift", 108, 2, 7, 117
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/Dashboard/Home/HomeWindow.swift", "Swift", 104, 6, 20, 130
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/Dashboard/Home/HomeWindowController.swift", "Swift", 19, 0, 3, 22
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/Dashboard/RecentScreenshotsView.swift", "Swift", 55, 0, 13, 68
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/DashboardViews/RecentScreenshotsView.swift", "Swift", -55, 0, -13, -68
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/Home/HomeWindow.swift", "Swift", -79, -5, -15, -99
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/Home/HomeWindowController.swift", "Swift", -19, 0, -3, -22
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/ScreenshotOverlay/ScreenshotOverlayController.swift", "Swift", 20, 3, -3, 20
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/ScreenshotPreview/DraggableImageView.swift", "Swift", 1, 0, 2, 3
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/Utils/KeychainHelper.swift", "Swift", 39, 0, 4, 43
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/mainSwift.swift", "Swift", -4, 0, 0, -4
"Total", "-", 338, -20, 26, 344
