"filename", "language", "Swift", "comment", "blank", "total"
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/App/AppCoordinator.swift", "Swift", 1, 0, 1, 2
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/Authentication/Auth.swift", "Swift", 5, 0, 2, 7
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/Bridge/XcodeBridge.swift", "Swift", 19, 0, 0, 19
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/Store/UserStore.swift", "Swift", 8, 3, 1, 12
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/Auth/LoginView.swift", "Swift", -6, -1, 0, -7
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/Auth/RegisterView.swift", "Swift", -4, -1, 0, -5
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/Dashboard/Home/HomeWindow.swift", "Swift", 51, 4, 6, 61
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/Dashboard/RecentScreenshots/RecentScreenshotsView.swift", "Swift", 161, 10, 6, 177
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/Dashboard/RecentScreenshotsView.swift", "Swift", -55, 0, -13, -68
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/Dashboard/SavedChats/SavedChatsController.swift", "Swift", 0, 0, 1, 1
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/UI/Dashboard/SavedChats/SavedChatsView.swift", "Swift", 320, 23, 11, 354
"/Users/rock/Documents/Projekti/gpt-pro-app/gpt-pro-app/Utils/KeychainHelper.swift", "Swift", 2, 0, 1, 3
"Total", "-", 502, 38, 16, 556
